k,distortion
1,252088839.66950828
2,247766662.4174888
3,243169806.78568763
4,241277823.55226523
5,236326136.75155318
6,236075065.21305013
7,235550136.25878128
8,234966479.7904425
9,234097793.06241825
10,233225282.29414257
11,232267871.47745407
12,232187495.45787784
13,231620404.2539031
14,230398926.83320302
15,229553399.35291934
16,230339962.5169549
17,229194367.2496183
18,228306396.12795132
19,226664328.96610016
20,227149987.02693886
21,226739335.88479882
22,227040324.18230426
23,225790435.29931217
24,225315911.49748036
25,224827120.6220616
26,224586136.36333767
27,224324422.96205604
28,224316136.36333767
29,224304422.96205604
30,224305431.92385498
