Image,Features
01319_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
09717_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
02150_00_rendered.png,[0.       0.       0.       ... 0.       2.447097 0.      ]
13031_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
10278_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
05002_00_rendered.png,[0.         0.         0.         ... 0.         0.04504037 0.        ]
14163_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
00280_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
03329_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
12248_00_rendered.png,[0.       0.       0.       ... 0.       1.193502 0.      ]
14283_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
10198_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
07032_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
01062_00_rendered.png,[0.         0.         0.         ... 0.         0.39491677 0.        ]
10103_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
06130_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
05379_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
14218_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
05099_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
08615_00_rendered.png,[0.        0.        0.        ... 0.        0.7078178 0.       ]
12133_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
04100_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
09838_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
07349_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
12307_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
04334_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
10337_00_rendered.png,[0.         0.         0.         ... 0.48050582 0.         0.        ]
06304_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
11235_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
00354_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
09977_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
07206_00_rendered.png,[0.         0.         0.         ... 0.         0.12123036 0.        ]
02084_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
13205_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
14357_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
01324_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
10245_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
12195_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
08553_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
03314_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
04246_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
07094_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
02216_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
13377_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
05344_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
14225_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
00226_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
08628_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
11347_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
09805_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
07374_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
05290_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
11173_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
00012_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
07140_00_rendered.png,[0.        0.        0.        ... 1.2391909 2.081341  0.       ]
04309_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
09585_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
13143_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
02022_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
09665_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
11293_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
14011_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
06339_00_rendered.png,[0.         0.         0.         ... 0.         0.11167812 0.        ]
12041_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
11208_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
00369_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
03120_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
10391_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
04072_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
10071_00_rendered.png,[0.        0.        0.        ... 1.1005436 0.        0.       ]
13238_00_rendered.png,[0.         0.         0.         ... 0.         0.21811962 0.        ]
02359_00_rendered.png,[0.         0.         0.         ... 0.         0.14386594 0.        ]
01110_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
08487_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
00089_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
14540_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
11876_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
06668_00_rendered.png,[0.        0.        0.        ... 0.        1.0111055 0.       ]
00917_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
05421_00_rendered.png,[0.        0.        0.        ... 0.        0.8332863 0.       ]
09334_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
02573_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
13846_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
02927_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
04658_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
07411_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
06588_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
11422_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
05875_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
00543_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
12944_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
06513_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
03825_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
13769_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
10520_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
04977_00_rendered.png,[0.        0.        0.        ... 0.        1.3942702 0.       ]
02608_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
13489_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
10974_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
11759_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
03471_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
00638_00_rendered.png,[0.        0.        0.        ... 1.7845823 0.        0.       ]
06947_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
04717_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
13909_00_rendered.png,[0.         0.         0.         ... 0.37850666 0.         0.        ]
01595_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
12890_00_rendered.png,[0.         0.         0.         ... 0.         0.22308135 0.        ]
03645_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
08002_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
06727_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
11939_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
01675_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
07991_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
