avg_hex_color,avg_rgb_color,num_images
#a7806c,"(167, 128, 108)",876
#c89c83,"(200, 156, 131)",537
#815644,"(129, 86, 68)",349
#a17157,"(161, 113, 87)",552
#bc8d72,"(188, 141, 114)",680
#d9b6a2,"(217, 182, 162)",224
#caa38d,"(202, 163, 141)",855
#c09b87,"(192, 155, 135)",590
#b08974,"(176, 137, 116)",910
#5a3f34,"(90, 63, 52)",49
#976750,"(151, 103, 80)",442
#ab7b60,"(171, 123, 96)",635
#b7907b,"(183, 144, 123)",774
#b3846a,"(179, 132, 106)",727
#d0ab96,"(208, 171, 150)",642
#c0957d,"(192, 149, 125)",897
#8b5f4c,"(139, 95, 76)",533
#936d5a,"(147, 109, 90)",464
#714b3c,"(113, 75, 60)",212
#9e7763,"(158, 119, 99)",684
